"stimulusFile","stimulus","accuracy","rt","participant","gender","age","condition","stimulus_category"
"stimuliBlock1.xlsx","Goed",1,1238,118,"m",18,2,"true"
"stimuliBlock1.xlsx","Juist",1,1347,118,"m",18,2,"true"
"stimuliBlock1.xlsx","Mis",1,1309,118,"m",18,2,"false"
"stimuliBlock1.xlsx","In orde",1,1376,118,"m",18,2,"true"
"stimuliBlock1.xlsx","Fout",1,1671,118,"m",18,2,"false"
"stimuliBlock1.xlsx","Incorrect",1,1587,118,"m",18,2,"false"
"stimuliBlock1.xlsx","Correct",1,1488,118,"m",18,2,"true"
"stimuliBlock1.xlsx","Exact",1,1421,118,"m",18,2,"true"
"stimuliBlock1.xlsx","Verkeerd",1,1404,118,"m",18,2,"false"
"stimuliBlock1.xlsx","Onjuist",1,1887,118,"m",18,2,"false"
"stimuliBlock1.xlsx","Incorrect",1,1584,119,"f",23,3,"false"
"stimuliBlock1.xlsx","In orde",1,1424,119,"f",23,3,"true"
"stimuliBlock1.xlsx","Verkeerd",1,1294,119,"f",23,3,"false"
"stimuliBlock1.xlsx","Fout",1,1270,119,"f",23,3,"false"
"stimuliBlock1.xlsx","Onjuist",1,1339,119,"f",23,3,"false"
"stimuliBlock1.xlsx","Exact",1,1314,119,"f",23,3,"true"
"stimuliBlock1.xlsx","Goed",1,1236,119,"f",23,3,"true"
"stimuliBlock1.xlsx","Mis",1,1286,119,"f",23,3,"false"
"stimuliBlock1.xlsx","Correct",1,1298,119,"f",23,3,"true"
